Model,Price,Year,Hand,Gear,Capacity_engine,Engine_type,Km,Test,Color,Prev_ownership,Curr_ownership,Area,City,Pic_num,Cre_date,Repub_date,Description
סקודה אוקטביה (2016),53000.0,2016,2,אוטומטית,"1,200",בנזין,"215,000",,,,,גליל ועמקים,כפר תבור,1,09/10/2022,09/10/2022,"מכונית שמורה במצב מצויין 
ומטופלת כנדרש"
סקודה סופרב (2013),30000.0,2013,2,אוטומטית,"1,800",בנזין,"165,000",,,,,פרדס חנה - כרכור,פרדס חנה כרכור,1,08/10/2022,08/10/2022,"הרכב תמיד מטופל 
יש היסטורית טיפולים מהחברה ! 
רכב היה בבעלות אחת 8 שנים עי נוסעת אחת !
צמיגים חדשים בחתך נמוך 
גאנטים יפים מאד 
מערכת אנדרואיד 
מצלמת רוורס 
הרכב הכי חתיך באחריות 
מתחייב בבדיקה על כל הרכב !"
סקודה אוקטביה (2015),,2015,1,אוטומטית,"1,200",בנזין,"119,000",,,,,כרמיאל והסביבה,כרמיאל,1,08/10/2022,08/10/2022,רכב שמור כחדש ללא תאונות עם גג נפתח elegance &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג נפתח חישוקי מגניזיום חישני ריוורס וגם קדמיים
סקודה אוקטביה (2010),24000.0,2010,2,אוטומטית,"1,197",בנזין,"108,000",,,,,ירושלים והסביבה,ירושלים,1,08/10/2022,08/10/2022,"ידיים פרטיות ,108000 קמ , טסט עד 6/23
מולטימדיה, 4 צמיגים חדשים קונטיננטל
אחרי טיפול, עבר תאונה מאחור לפני 10 שנים שתוקנה"
"סקודה פאביה
 (2016)",55000.0,2016,2,אוטומטית,"1,197",בנזין,"112,000",,,,,,שריד,1,07/10/2022,07/10/2022,"רכב כמו חדש , שמור ללא עבר תאונות
מצלמת רוורס , 110 כס , כפתור התנעה"
סקודה אוקטביה (2016),,2016,2,אוטומטית,"1,400",בנזין,"214,000",,,,,,רהט,1,07/10/2022,07/10/2022,"סקודה אוקטביה שנת 2016, הדגם המוצלח נפח 1400 עם 150 כ״ס, רכב במצב נהדר, שמור מאוד, חזק וחסכוני, ללא תאונות, נהג יחיד, טסט עד 03/2023, הרכב עבר טיפול לפני כמה ימים, גאנטים מגנזיום. מתחייב בבדיקה מנוע, גיר ושלדה. גמיש לרציניים."
סקודה ייטי (2012),28000.0,2012,2,רובוטית,"1,200",בנזין,"191,000",,,,,,החותרים,1,06/10/2022,06/10/2022,"רכב מטופל מאד מצב מכני מעולה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מולטימדיה, מצלמת רוורס, חיישנים מזגן מאחור, 2 צמיגים חדשים..."
סקודה אוקטביה (2011),26000.0,2011,2,אוטומטית,"1,200",בנזין,"165,000",,תכלת,ליסינג,פרטית,רמת גן - גבעתיים,בני ברק,3,27/09/2022,27/09/2022,סקודה אוקטביה שנת 2011 מנוע 1.2 טורבו בנזין גמיש
סקודה סופרב (2012),,2012,5,אוטומטית,"1,800",בנזין,182,,,,,קיסריה והסביבה,בית חנניה,1,26/09/2022,26/09/2022,הכל חדש
סקודה אוקטביה (2014),44000.0,2014,3,טיפטרוניק,"1,400",בנזין,"20,000",,שחור,פרטית,פרטית,,עראבה,3,24/09/2022,24/09/2022,"מנוע 1400 הדגם המוצלח 
ללא בעיות 
ואטסאב שאין קליטה 0522968772
נוסע מציין
באמת רכב נקי"
"סקודה פאביה
 (2016)",69000.0,2016,1,אוטומטית,"1,200",בנזין,"50,000",,,,,קריות,קרית מוצקין,1,17/09/2022,17/09/2022,"רכב במצב חדש נהג יחיד שמור ומטופל במוסך מורשה
כל הקודם זוכה"
סקודה רומסטר (2014),23000.0,2014,3,אוטומטית,"1,200",בנזין,"220,000",,אפור מטאלי,פרטית,פרטית,נתניה והסביבה,נתניה,8,12/09/2022,12/09/2022,"סקודה רומסטאר דגם מנוע 1.2 חסכוני מאוד בדלק ללא תקלות ללא תאונות , הרכב שמור עם חיישני רוורס . טסט עד סוף 2022"
סקודה ראפיד (2015),25000.0,2015,3,ידנית,"1,600",דיזל,330,,לבן,מונית,פרטית,באר שבע והסביבה,באר שבע,7,10/09/2022,10/09/2022,רכב שמור
סקודה סופרב (2016),95000.0,2016,2,טיפטרוניק,"2,000",בנזין,"140,000",,,,,,כפר כנא,1,08/09/2022,08/09/2022,נקי מטופל ושמור
"סקודה פאביה
 (2014)",33000.0,2014,2,ידנית,"1,400",בנזין,"75,000",,,,,בית שמש והסביבה,בית שמש,1,07/09/2022,07/09/2022,רכב במצב טוב מאוד.נראה טוב.קמ נמוך.טסט לשנה.פאביה בגימור אמבישן
סקודה ראפיד (2014),30000.0,2014,1,אוטומטית,"1,400",בנזין,,,,,,,כפר מנדא,1,30/08/2022,30/08/2022,רכב נקי גיר שילדה מנוע במצב מעולה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; וו גרירה
סקודה אוקטביה (2011),26000.0,2011,3,אוטומטית,"1,200",בנזין,"155,000",,שחור,פרטית,פרטית,ירושלים והסביבה,ירושלים,5,29/08/2022,29/08/2022,
סקודה אוקטביה (2011),34000.0,2011,3,אוטומטית,"1,400",בנזין,"119,000",,אפור עכבר,פרטית,פרטית,ירושלים והסביבה,ירושלים,5,29/08/2022,29/08/2022,"הדגם הכי מפואר בשנתון
והכי אמין.
1.4 טורבו אלגנס.
לאחר טיפול 15000
4 צמיגים חדשים
טסט ארוך
קמ’’ נמות מאוד
טופל במורשה בלבד
רכב מקורי נוסע כמו חדש"
סקודה אוקטביה (2015),60000.0,2015,2,אוטומטית,"1,400",בנזין,"151,000",,,,,,כפר עגר,1,26/08/2022,26/08/2022,ללא תאונות אוטו שמור סוג מפואר אלגאנס Elegance מנוע 1400 טורבו חזק מאוד וזריז וחסכוני הדגם המוצלח ביותר .מולטמיגיה תואם מקור
"סקודה רומסטר
 (2014)",29000.0,2014,3,אוטומטית,"1,197",בנזין,"23,000",,,,,ירושלים והסביבה,מבשרת ציון,1,25/08/2022,25/08/2022,
סקודה אוקטביה (2008),14000.0,2008,2,אוטומטית,"1,600",בנזין,"195,000",,אפור מטאלי,פרטית,פרטית,,ג'וליס,1,25/08/2022,25/08/2022,"אוטו מטופל בזמן מוכר עקב קבלת רכב 
לעוד פרטים נא להתקשר"
סקודה אוקטביה (2014),48000.0,2014,2,אוטומטית,"1,200",בנזין,"130,000",,,,,רעננה - כפר סבא,כפר סבא,1,25/08/2022,25/08/2022,סקודה אוקטביה שמורה עם מעט קילומטרים שימשה כרכב שני במשפחה. רכב משפחתי מרווח מאוד עם פגש ענקי. ללא תאונות ועם מערכת מובילאיי ו 7 כריות אויר
סקודה ראפיד (2015),40000.0,2015,2,אוטומטית,"1,395",בנזין,"144,000",,,,,כרמיאל והסביבה,כרמיאל,1,24/08/2022,24/08/2022,רכב שמור &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטימדיה
"סקודה אוקטביה ספייס
 (2016)",62000.0,2016,2,אוטומטית,"1,197",בנזין,"93,500",,,,,,"פ""ת",1,23/08/2022,23/08/2022,"רכב שמור, טסט לשנה, חסכוני מאד בדלק, מטופל בסקודה, ללא תעונות נמכר לרגל נסיעה לחו""ל. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; + מערכת התראה מסטיה וקרבה"
סקודה סופרב (2013),37000.0,2013,2,אוטומטית,"1,800",בנזין,"159,000",,,,,פרדס חנה - כרכור,פרדס חנה כרכור,1,22/08/2022,22/08/2022,"רכב חתיך !! 
מטופל תמיד בחברה יש לכך מסמכים 

הכל חדש באחריות !!"
"סקודה רומסטר
 (2014)",23000.0,2014,1,אוטומטית,"1,200",בנזין,"202,000",,,,,באר שבע והסביבה,באר שבע,1,22/08/2022,22/08/2022,רכב מטופל ושמור כל הקודם זוכה
סקודה ראפיד (2015),45000.0,2015,2,אוטומטית,"1,400",בנזין,"140,000",,,,,חולון - בת ים,חולון,1,18/08/2022,18/08/2022,"רכב שמור, מצב מצוין נמכר עקב רכב מהעבודה"
"סקודה פאביה
 (2013)",19000.0,2013,1,ידנית,"1,400",בנזין,205,,,,,באר שבע והסביבה,באר שבע,1,18/08/2022,18/08/2022,"רכב ללא תאונות טיפולים בזמן במוסך מורשה 
יד ראשונה פרטי
הרכב הכי אמין שיש 
גיר ידני חסכוני ביותר"
סקודה אוקטביה (2011),30000.0,2011,2,אוטומטית,"1,400",בנזין,163,,,,,חולון - בת ים,חולון,1,17/08/2022,17/08/2022,"אוטו נדיר לשנתון שלו
פרטי ריפוד חדש מרכת חדשה 
מצלמות ריברס נמכר עקב קניית מונית"
"סקודה אוקטביה ספייס
 (2015)",59000.0,2015,2,אוטומטית,"12,000",דיזל,"141,000",,,,,רמת גן - גבעתיים,רמת גן,1,11/08/2022,11/08/2022,
סקודה סופרב (2011),27000.0,2011,3,אוטומטית,"1,800",בנזין,"26,000",,,,,באר שבע והסביבה,באר שבע,1,11/08/2022,11/08/2022,סקודה סופרב שנת 2011 נפח 1800 טורבו רכב מפנק מרווח טיפולים בזמן מחירון 33 מוכר ב27 אלף לרציניים
סקודה אוקטביה (2016),,2016,3,אוטומטית,"1,400",בנזין,180,,,,,,סח'נין,1,10/08/2022,10/08/2022,טיפול חדש טסט מלא רכב לא חסר כלום &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; לעווד פרטים להתקשר
סקודה סופרב (2013),35000.0,2013,3,אוטומטית,"1,800",בנזין,168,,,,,רמת גן - גבעתיים,רמת גן,1,08/08/2022,08/08/2022,שמור ומטופל במצב טוב טסט לשנה
סקודה אוקטביה (2014),40000.0,2014,2,אוטומטית,"1,200",בנזין,,,,,,רמת גן - גבעתיים,גבעתיים,1,07/08/2022,07/08/2022,"160,000 ק""מ רכב מטופל טסט עד ינואר &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; וו גרירה"
סקודה אוקטביה (2006),6000.0,2006,6,אוטומטית,"1,600",בנזין,"185,000",,,,,,ירכא,1,06/08/2022,06/08/2022,אוטו שמור מטופל בזמן 4 צמגים חדשים טסט לשנה הכל עובד חסכוני מאוד
סקודה אוקטביה (2015),61000.0,2015,2,אוטומטית,"1,400",בנזין,"131,000",,,,,מושבים במרכז,ניר צבי,1,03/08/2022,03/08/2022,למכירה בצער רב עקב מעבר לחול. רכב שמור מאד ומטופל במוסך מורשה אחרי טיפול גדול.מסך מולטמדיה מצלמת רוורס מגנזיום 18 חלונות נסגרים מהשלט. 2 מפתחות. הגה עם תפירה ידנית. כל הנקלים ברכב שלמים. מחירון 66300₪
"סקודה רומסטר
 (2015)",30000.0,2015,2,אוטומטית,"1,200",בנזין,230,,,,,,כפר קרע,1,02/08/2022,02/08/2022,
סקודה אוקטביה (2015),,2015,2,אוטומטית,"1,200",בנזין,"160,000",,,,,,צפון,1,31/07/2022,31/07/2022,רכב שמור מאוד רכב פרטי טסת שנה
